,N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
1,1.0,삼성전자,83700.0,400.0,-0.48%,100.0,4996708.0,5969783.0,55.93,16963684.0,39.28,4.15,
2,2.0,SK하이닉스,187400.0,1000.0,-0.53%,5000.0,1364276.0,728002.0,54.9,3041976.0,-14.97,-15.61,
3,3.0,LG에너지솔루션,371500.0,8500.0,-2.24%,500.0,869310.0,234000.0,4.87,171737.0,70.27,6.36,
4,4.0,삼성전자우,69100.0,100.0,-0.14%,100.0,568615.0,822887.0,75.61,1000412.0,32.43,,
5,5.0,삼성바이오로직스,790000.0,5000.0,-0.63%,2500.0,562275.0,71174.0,11.99,41085.0,65.55,9.12,
9,6.0,현대차,238000.0,3000.0,-1.24%,5000.0,503445.0,211532.0,38.61,993896.0,5.46,13.68,
10,7.0,기아,109800.0,1900.0,-1.70%,5000.0,441445.0,402044.0,40.44,1220693.0,5.04,20.44,
11,8.0,셀트리온,182200.0,2700.0,+1.50%,1000.0,397287.0,218050.0,23.41,473411.0,50.07,5.07,
12,9.0,POSCO홀딩스,395000.0,5000.0,-1.25%,5000.0,334056.0,84571.0,27.43,317349.0,19.67,3.18,
13,10.0,NAVER,185900.0,2300.0,+1.25%,100.0,301918.0,162409.0,45.45,831736.0,30.08,4.41,
17,11.0,LG화학,393000.0,6000.0,+1.55%,5000.0,277428.0,70592.0,39.31,259162.0,23.0,4.2,
18,12.0,삼성SDI,401000.0,6500.0,-1.60%,5000.0,275746.0,68765.0,42.12,261398.0,14.05,11.48,
19,13.0,KB금융,66300.0,2000.0,-2.93%,5000.0,267528.0,403511.0,75.49,1756967.0,5.8,8.44,
20,14.0,삼성물산,140100.0,6900.0,-4.69%,100.0,260014.0,185592.0,24.76,594930.0,11.85,7.28,
21,15.0,현대모비스,240500.0,10500.0,-4.18%,5000.0,225240.0,93655.0,40.09,198631.0,6.62,8.73,
25,16.0,신한지주,41850.0,1250.0,-2.90%,5000.0,213181.0,509393.0,61.22,2559095.0,4.98,8.36,
26,17.0,카카오,47850.0,200.0,-0.42%,100.0,213049.0,445244.0,28.05,939130.0,-21.02,-10.26,
27,18.0,포스코퓨처엠,268000.0,14500.0,-5.13%,500.0,207601.0,77463.0,9.17,371443.0,722.37,1.19,
28,19.0,삼성생명,81100.0,3900.0,-4.59%,500.0,162200.0,200000.0,19.5,642229.0,8.56,4.95,
29,20.0,하나금융지주,55000.0,3000.0,-5.17%,5000.0,160796.0,292357.0,70.48,1816621.0,4.74,9.01,
33,21.0,LG전자,93500.0,2900.0,-3.01%,5000.0,153011.0,163648.0,30.09,906486.0,23.72,3.69,
34,22.0,메리츠금융지주,78200.0,2500.0,-3.10%,500.0,152233.0,194671.0,17.35,718495.0,7.46,28.11,
35,23.0,한미반도체,145500.0,3800.0,+2.68%,100.0,141629.0,97339.0,14.99,4303976.0,53.01,55.54,
36,24.0,삼성화재,288500.0,6500.0,-2.20%,500.0,136676.0,47375.0,53.63,131889.0,8.02,12.73,
37,25.0,한국전력,20200.0,1100.0,-5.16%,5000.0,129677.0,641964.0,15.36,4136172.0,-2.69,-12.63,
41,26.0,LG,77600.0,2000.0,-2.51%,5000.0,122066.0,157301.0,35.41,421568.0,9.86,4.89,
42,27.0,카카오뱅크,24850.0,1300.0,-4.97%,5000.0,118515.0,476921.0,16.82,1141345.0,33.4,6.0,
43,28.0,SK,161400.0,1200.0,-0.74%,200.0,118142.0,73198.0,24.82,124326.0,-15.38,-3.67,
44,29.0,삼성전기,157700.0,1200.0,+0.77%,5000.0,117792.0,74694.0,31.76,418069.0,28.94,5.5,
45,30.0,삼성에스디에스,151400.0,300.0,+0.20%,500.0,117150.0,77378.0,18.53,99995.0,16.89,8.22,
49,31.0,크래프톤,238500.0,9000.0,-3.64%,100.0,115349.0,48364.0,35.01,86444.0,19.52,11.16,
50,32.0,KT&G,88300.0,2200.0,-2.43%,5000.0,115075.0,130322.0,44.5,297708.0,13.35,9.76,
51,33.0,한화에어로스페이스,217000.0,3000.0,+1.40%,5000.0,109867.0,50630.0,35.35,466028.0,13.44,25.6,
52,34.0,SK텔레콤,50500.0,700.0,-1.37%,100.0,108469.0,214790.0,42.38,583184.0,10.11,9.63,
53,35.0,SK스퀘어,77900.0,4800.0,+6.57%,100.0,108266.0,138981.0,49.79,642164.0,-8.53,-8.04,
57,36.0,HMM,15380.0,220.0,-1.41%,5000.0,105974.0,689039.0,10.61,1458935.0,8.41,4.59,
58,37.0,HD현대중공업,117900.0,3400.0,+2.97%,5000.0,104664.0,88773.0,7.9,144496.0,424.1,0.47,
59,38.0,SK이노베이션,108400.0,2200.0,-1.99%,5000.0,103777.0,95736.0,22.66,435365.0,41.31,1.22,
60,39.0,기업은행,12740.0,360.0,-2.75%,5000.0,101592.0,797426.0,15.11,1773525.0,3.81,8.79,
61,40.0,우리금융지주,13410.0,360.0,-2.61%,5000.0,99582.0,742592.0,41.75,2599062.0,3.96,8.3,
65,41.0,고려아연,470500.0,1500.0,-0.32%,5000.0,98375.0,20909.0,18.11,41729.0,18.01,5.72,
66,42.0,두산에너빌리티,15310.0,190.0,+1.26%,5000.0,98070.0,640561.0,17.7,3312557.0,175.98,0.78,
67,43.0,KT,34600.0,800.0,-2.26%,5000.0,88979.0,257165.0,45.63,911528.0,8.9,6.05,
68,44.0,하이브,213000.0,3500.0,-1.62%,500.0,88719.0,41652.0,21.0,168930.0,47.29,6.58,
69,45.0,S-Oil,78600.0,4100.0,-4.96%,2500.0,88490.0,112583.0,79.02,501727.0,9.66,10.83,
73,46.0,한화오션,28500.0,2350.0,+8.99%,5000.0,87312.0,306359.0,16.8,2549911.0,37.65,6.33,
74,47.0,HD현대일렉트릭,235000.0,3000.0,+1.29%,5000.0,84711.0,36047.0,27.84,1262327.0,32.69,27.71,
